Date,Open,High,Low,Close,Adj Close,Volume
1990-10-23,2.593750,2.625000,2.593750,2.625000,1.198125,132800
1990-10-24,2.609375,2.609375,2.578125,2.578125,1.176731,213600
1990-10-25,2.578125,2.671875,2.578125,2.640625,1.205257,160800
1990-10-26,2.640625,2.640625,2.640625,2.640625,1.205257,9600
1990-10-29,2.609375,2.609375,2.609375,2.609375,1.190994,16800
1990-10-30,2.593750,2.609375,2.593750,2.609375,1.190994,38400
1990-10-31,2.625000,2.640625,2.625000,2.625000,1.198125,34400
1990-11-01,2.656250,2.656250,2.625000,2.625000,1.198125,268000
1990-11-02,2.656250,2.656250,2.640625,2.640625,1.205257,72000
1990-11-05,2.640625,2.703125,2.625000,2.671875,1.219521,236000
1990-11-06,2.671875,2.718750,2.671875,2.703125,1.233785,41600
1990-11-07,2.734375,2.734375,2.703125,2.734375,1.248047,39200
1990-11-08,2.750000,2.750000,2.703125,2.718750,1.240916,31200
1990-11-09,2.703125,2.703125,2.703125,2.703125,1.233785,5600
1990-11-12,2.718750,2.781250,2.718750,2.765625,1.262311,134400
1990-11-13,2.796875,2.796875,2.750000,2.750000,1.255179,156000
1990-11-14,2.750000,2.765625,2.750000,2.750000,1.255179,260800
1990-11-15,2.718750,2.718750,2.656250,2.687500,1.226652,288800
1990-11-16,2.656250,2.687500,2.640625,2.671875,1.219521,68800
1990-11-19,2.671875,2.687500,2.671875,2.671875,1.219521,36800
1990-11-20,2.671875,2.671875,2.640625,2.640625,1.205257,148000
1990-11-21,2.640625,2.640625,2.609375,2.609375,1.190994,25600
1990-11-23,2.625000,2.656250,2.625000,2.656250,1.212389,84800
1990-11-26,2.625000,2.625000,2.609375,2.609375,1.190994,239200
1990-11-27,2.625000,2.640625,2.625000,2.640625,1.205257,407200
1990-11-28,2.640625,2.671875,2.640625,2.671875,1.219521,327200
1990-11-29,2.671875,2.953125,2.671875,2.937500,1.340759,498400
1990-11-30,2.937500,3.156250,2.937500,3.093750,1.412077,367200
1990-12-03,3.109375,3.296875,3.109375,3.234375,1.476262,302400
1990-12-04,3.218750,3.218750,3.187500,3.187500,1.454867,270400
1990-12-05,3.156250,3.187500,3.125000,3.156250,1.440604,290400
1990-12-06,3.140625,3.171875,3.140625,3.156250,1.440604,98400
1990-12-07,3.171875,3.187500,3.171875,3.171875,1.447735,186400
1990-12-10,3.156250,3.187500,3.140625,3.156250,1.440604,40000
1990-12-11,3.156250,3.203125,3.156250,3.203125,1.473671,17600
1990-12-12,3.234375,3.234375,3.203125,3.203125,1.473671,28800
1990-12-13,3.250000,3.281250,3.187500,3.218750,1.480860,283200
1990-12-14,3.187500,3.234375,3.171875,3.234375,1.488049,65600
1990-12-17,3.203125,3.218750,3.187500,3.203125,1.473671,55200
1990-12-18,3.218750,3.296875,3.218750,3.296875,1.516803,65600
1990-12-19,3.312500,3.312500,3.250000,3.296875,1.516803,484800
1990-12-20,3.312500,3.421875,3.312500,3.359375,1.545558,612000
1990-12-21,3.359375,3.375000,3.343750,3.359375,1.545558,110400
1990-12-24,3.390625,3.437500,3.359375,3.437500,1.581501,114400
1990-12-26,3.437500,3.468750,3.437500,3.437500,1.581501,145600
1990-12-27,3.453125,3.453125,3.406250,3.406250,1.567123,90400
1990-12-28,3.390625,3.406250,3.375000,3.390625,1.559934,211200
1990-12-31,3.375000,3.406250,3.375000,3.390625,1.559934,200000
1991-01-02,3.375000,3.406250,3.375000,3.390625,1.559934,24000
1991-01-03,3.421875,3.437500,3.421875,3.421875,1.574312,49600
1991-01-04,3.468750,3.468750,3.437500,3.437500,1.581501,68800
1991-01-07,3.437500,3.468750,3.437500,3.437500,1.581501,44800
1991-01-08,3.437500,3.500000,3.421875,3.468750,1.595878,108000
1991-01-09,3.515625,3.531250,3.375000,3.390625,1.559934,136800
1991-01-10,3.343750,3.375000,3.312500,3.375000,1.552747,344000
1991-01-11,3.406250,3.437500,3.390625,3.421875,1.574312,87200
1991-01-14,3.390625,3.437500,3.390625,3.406250,1.567123,38400
1991-01-15,3.406250,3.406250,3.390625,3.406250,1.567123,15200
1991-01-16,3.390625,3.390625,3.343750,3.359375,1.545558,252800
1991-01-17,3.390625,3.406250,3.390625,3.406250,1.567123,36000
1991-01-18,3.406250,3.453125,3.406250,3.453125,1.588690,80800
1991-01-21,3.531250,3.609375,3.468750,3.531250,1.624633,343200
1991-01-22,3.531250,3.531250,3.421875,3.468750,1.595878,91200
1991-01-23,3.453125,3.453125,3.406250,3.437500,1.581501,247200
1991-01-24,3.468750,3.531250,3.453125,3.531250,1.624633,202400
1991-01-25,3.515625,3.640625,3.500000,3.609375,1.660576,280000
1991-01-28,3.625000,3.656250,3.593750,3.625000,1.667765,89600
1991-01-29,3.656250,3.718750,3.640625,3.640625,1.674953,188000
1991-01-30,3.656250,3.703125,3.656250,3.687500,1.696519,106400
